Month,Adana,Adıyaman,Afyonkarahisar,Aksaray,Amasya,Ankara,Antalya,Ardahan,Artvin,Aydın,Ağrı,Balıkesir,Bartın ,Batman,Bayburt,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Denizli,Diyarbakır,Düzce,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Iğdır,Kahramanmaraş,Karabük,Karaman,Kars,Kastamonu,Kayseri,Kilis ,Kocaeli,Konya,Kütahya,Kırklareli,Kırıkkale,Kırşehir,Malatya,Manisa,Mardin,Mersin,Muğla,Muş,Nevşehir,Niğde,Ordu,Osmaniye,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Uşak,Van,Yalova,Yozgat,Zonguldak,Çanakkale,Çankırı,Çorum,İstanbul,İzmir,Şanlıurfa,Şırnak
2009-01-01,3886,1362,1089,629,421,6328,3450,223,189,1446,1368,1358,181,1478,100,245,478,954,293,311,3752,1370,3972,442,353,943,303,1627,765,4218,469,187,712,3093,735,406,2288,232,374,586,395,2083,300,2270,3736,659,316,387,288,1357,2135,2061,3089,1210,1029,430,637,881,1060,415,1119,1577,908,248,1011,983,849,1036,125,434,2463,271,749,807,545,253,654,18682,5052,5901,1386
2009-02-01,2847,978,954,541,320,4955,2410,133,145,997,998,964,188,1009,96,204,335,646,271,240,2894,1016,2761,413,309,729,190,1074,658,3056,435,119,455,2306,433,295,1701,196,304,423,302,1620,190,1980,2580,520,251,262,179,901,1520,1500,2056,807,810,375,449,762,686,333,996,1326,601,190,692,804,683,792,61,366,1978,194,628,621,382,188,573,15617,3948,3759,934
2009-03-01,2832,958,981,616,375,5502,2493,161,150,1049,1083,1118,210,1063,116,212,371,658,272,299,3069,1063,2866,406,313,709,242,1230,741,3273,475,190,456,2304,454,289,1769,259,341,482,377,1714,270,2079,2872,662,286,324,248,1007,1484,1510,2099,911,846,418,546,844,788,367,1134,1518,605,204,826,887,800,973,60,379,2106,234,687,767,445,206,614,17000,4067,3882,923
2009-04-01,2545,1066,1067,601,379,6039,2299,199,178,1056,1362,1071,206,1139,103,217,425,784,296,274,3332,1110,2950,399,350,763,227,1407,824,3553,436,187,542,2250,512,322,1930,218,371,586,379,2005,228,2135,3076,613,291,344,266,1039,1500,1561,1937,853,1059,420,570,904,727,353,1132,1564,792,233,962,971,795,887,83,365,2466,233,762,754,445,196,685,16824,3935,4354,1159
2009-05-01,2534,1091,1053,695,381,6076,2306,156,164,1067,1340,1069,201,1042,149,228,467,791,281,268,3371,993,2924,416,383,799,250,1437,815,3475,412,196,518,2297,518,331,1866,217,385,617,433,2049,234,2140,3035,639,273,345,280,1048,1424,1528,1812,887,1131,384,603,877,658,379,1118,1497,786,219,981,967,830,840,79,409,2572,268,798,738,437,227,651,17268,4215,4071,1074
2009-06-01,2878,1150,989,717,396,6189,2366,152,166,1052,1458,1012,208,1131,126,226,554,809,320,265,3351,1087,3410,386,338,856,277,1450,775,3635,428,174,561,2394,486,331,2105,245,357,622,416,2048,235,2154,3086,657,295,335,293,1153,1544,1600,2048,883,1077,402,623,940,770,402,1094,1644,729,227,963,948,806,922,88,363,2798,228,792,789,467,236,712,17835,4258,4364,1191
2009-07-01,3589,1267,1088,717,422,6646,2849,164,211,1155,1486,1181,235,1234,123,257,495,915,327,274,3599,1270,3476,457,415,909,283,1453,861,4085,490,193,574,2674,551,399,2066,266,356,654,395,2105,253,2448,3423,669,332,393,295,1179,1768,1729,2606,975,1092,449,636,985,815,364,1186,1569,801,224,965,1113,830,950,82,410,2778,230,776,818,457,255,705,19607,4820,4799,1208
2009-08-01,3745,1222,1015,739,373,6336,2740,172,198,1193,1655,1165,204,1215,143,231,578,936,299,241,3613,1160,3714,458,371,835,298,1479,794,4014,468,192,561,2905,485,414,2202,276,325,689,399,1992,259,2354,3180,642,312,365,279,1152,1708,1857,2550,892,1204,432,587,953,893,419,1245,1657,795,234,989,967,888,1029,83,392,2945,259,770,795,475,241,811,18908,4548,4897,1219
2009-09-01,3669,1258,1087,694,345,6026,2803,165,167,1216,1782,1157,242,1176,117,217,586,857,315,263,3321,1144,3689,484,357,819,278,1525,742,3939,440,198,560,2990,475,424,2201,242,341,753,393,1836,263,2344,3126,663,289,342,269,1146,1681,1813,2648,1002,1159,397,613,934,947,466,1150,1789,812,245,921,979,876,1044,90,373,3011,246,763,776,446,220,800,18845,4645,5046,1352
2009-10-01,3457,1160,940,650,361,5338,2659,146,185,1055,1441,971,185,1130,112,205,434,771,288,245,3200,1089,3290,427,331,804,251,1356,709,3632,418,160,521,2625,449,409,1883,198,334,617,342,1771,228,2117,2734,584,259,283,226,1059,1572,1670,2434,941,1042,381,489,827,884,348,1161,1545,753,231,851,881,760,1015,79,367,2594,236,649,727,421,208,637,17680,4182,4648,1155
2009-11-01,3067,1047,757,506,288,4796,2343,122,171,974,1531,822,177,1079,96,183,464,705,239,215,2981,989,3390,337,299,748,212,1255,630,3196,380,126,461,2312,368,399,1673,174,286,610,318,1623,204,1952,2586,488,246,274,200,953,1320,1721,2172,783,853,326,482,781,770,377,986,1436,756,183,790,828,681,884,65,310,2443,215,657,621,352,163,620,15955,3642,4589,1142
2009-12-01,2650,856,807,511,290,4111,1929,114,133,711,1271,647,197,990,80,181,396,569,252,181,2475,875,2956,433,291,576,212,860,516,2868,410,146,349,2196,288,394,1559,190,232,507,324,1330,151,1903,1952,392,233,223,177,737,1073,1455,1668,599,749,293,425,776,624,303,1009,1483,631,214,596,827,603,817,55,297,2188,203,560,626,345,139,510,16220,3526,4110,1119
